file,packets,bytes,duration,rtt,bitrate,quality
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00330_quic_anonymized_filtered.pcap,1075,155001,1.24,0.0,7.44,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00720_quic_anonymized_filtered.pcap,1069,153797,0.87,0.0,10.63,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00490_quic_anonymized_filtered.pcap,1084,156772,0.95,0.0,9.78,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00670_quic_anonymized_filtered.pcap,1077,155263,0.8,0.0,11.6,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00430_quic_anonymized_filtered.pcap,1066,153841,0.86,0.0,10.73,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/youtube.com/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_/https:__www.youtube.com_howyoutubeworks_resources_brand-resources_-00520_quic_anonymized_filtered.pcap,1076,157423,0.85,0.0,10.88,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00500_quic_anonymized_filtered.pcap,534,400260,1.12,0.0,2.85,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00490_quic_anonymized_filtered.pcap,551,410524,1.01,0.0,3.24,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00250_quic_anonymized_filtered.pcap,531,397456,1.19,0.0,2.67,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00550_quic_anonymized_filtered.pcap,521,388127,1.07,0.0,2.91,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00330_quic_anonymized_filtered.pcap,540,389440,1.08,0.0,2.9,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00280_quic_anonymized_filtered.pcap,512,390992,2.54,0.0,1.23,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00510_quic_anonymized_filtered.pcap,542,402547,1.01,0.0,3.18,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00430_quic_anonymized_filtered.pcap,543,411498,2.49,0.0,1.32,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00760_quic_anonymized_filtered.pcap,592,425644,1.22,0.0,2.8,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_kb_931-integrations/https:__www.semrush.com_kb_931-integrations-00420_quic_anonymized_filtered.pcap,542,396031,2.61,0.0,1.22,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00280_quic_anonymized_filtered.pcap,242,142305,1.91,0.0,0.59,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00760_quic_anonymized_filtered.pcap,233,137281,1.07,0.0,1.03,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00500_quic_anonymized_filtered.pcap,323,207832,3.21,0.0,0.52,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00510_quic_anonymized_filtered.pcap,231,137117,1.34,0.0,0.82,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00490_quic_anonymized_filtered.pcap,239,137908,1.1,0.0,1.0,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00250_quic_anonymized_filtered.pcap,248,145304,3.08,0.0,0.38,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00430_quic_anonymized_filtered.pcap,241,135593,1.27,0.0,0.85,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00550_quic_anonymized_filtered.pcap,320,200100,1.12,0.0,1.42,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00420_quic_anonymized_filtered.pcap,242,143468,2.75,0.0,0.42,EXCELENTE
datasets/VisQUIC/dataset-samples/VisQUIC/semrush.com/https:__www.semrush.com_features_link-building_/https:__www.semrush.com_features_link-building_-00330_quic_anonymized_filtered.pcap,223,135581,1.12,0.0,0.97,EXCELENTE
